Paquete,Paquete,Estudios del paquete,Estudios del paquete,Estudios del paquete,
Abreviatura,Descripcion,Tipo,Codigo,Descripcion,
PAQCOAG,PERFIL DE COAGULACION,Prueba,01,TIEMPO DE PROTROMBINA,
PAQCOAG,PERFIL DE COAGULACION,Prueba,TPT,TIEMPO PARCIAL DE TROMBOPLASTINA,
PAQCOAG,PERFIL DE COAGULACION,Perfil,45,CITOMETRIA HEMATICA COMPLETA,
PAQCOAG,PERFIL DE COAGULACION,Prueba,88,FIBRINOGENO,
PREOP,PERFIL PREOPERATORIO,Perfil,83,Examen general de orina,
PREOP,PERFIL PREOPERATORIO,Prueba,01,TIEMPO DE PROTROMBINA,
PREOP,PERFIL PREOPERATORIO,Prueba,TPT,TIEMPO PARCIAL DE TROMBOPLASTINA,
PREOP,PERFIL PREOPERATORIO,Perfil,45,CITOMETRIA HEMATICA COMPLETA,
PREOP,PERFIL PREOPERATORIO,Perfil,QS3,QUIMICA SANGUINEA 3,
PREOP,PERFIL PREOPERATORIO,Prueba,grupo,GRUPO SANGUÍNEO,
PREOP2,PERFIL PREOPERATORIO QSC,Perfil,83,Examen general de orina,
PREOP2,PERFIL PREOPERATORIO QSC,Perfil,45,CITOMETRIA HEMATICA COMPLETA,
PREOP2,PERFIL PREOPERATORIO QSC,Prueba,01,TIEMPO DE PROTROMBINA,
PREOP2,PERFIL PREOPERATORIO QSC,Prueba,TPT,TIEMPO PARCIAL DE TROMBOPLASTINA,
PREOP2,PERFIL PREOPERATORIO QSC,Perfil,QSC,QUIMICA SANGUINEA 6,
PREOP2,PERFIL PREOPERATORIO QSC,Prueba,grupo,GRUPO SANGUÍNEO,
CPB,CHEQUEO PRENATAL BASICO,Perfil,45,CITOMETRIA HEMATICA COMPLETA,
CPB,CHEQUEO PRENATAL BASICO,Perfil,QS3,QUIMICA SANGUINEA 3,
CPB,CHEQUEO PRENATAL BASICO,Perfil,83,Examen general de orina,
CPB,CHEQUEO PRENATAL BASICO,Prueba,VDRL,VDRL,
CPB,CHEQUEO PRENATAL BASICO,Prueba,grupo,GRUPO SANGUÍNEO,
PRENAQC6,PERFIL PRENATAL COMPLETO,Perfil,45,CITOMETRIA HEMATICA COMPLETA,
PRENAQC6,PERFIL PRENATAL COMPLETO,Perfil,QSC,QUIMICA SANGUINEA 6,
PRENAQC6,PERFIL PRENATAL COMPLETO,Prueba,grupo,GRUPO SANGUÍNEO,
PRENAQC6,PERFIL PRENATAL COMPLETO,Perfil,83,Examen general de orina,
PRENAQC6,PERFIL PRENATAL COMPLETO,Prueba,VDRL,VDRL,
PRENAQC6,PERFIL PRENATAL COMPLETO,Perfil,VIHPV4CG,VHI Cuarta generación,
MAM RESP,MAMÁ RESPONSABLE,Perfil,45,CITOMETRIA HEMATICA COMPLETA,
MAM RESP,MAMÁ RESPONSABLE,Perfil,QSC,QUIMICA SANGUINEA 6,
MAM RESP,MAMÁ RESPONSABLE,Prueba,grupo,GRUPO SANGUÍNEO,
MAM RESP,MAMÁ RESPONSABLE,Prueba,VIH,HIV 1 Y 2,
MAM RESP,MAMÁ RESPONSABLE,Prueba,VDRL,VDRL,
MAM RESP,MAMÁ RESPONSABLE,Perfil,83,Examen general de orina,
Paquete febril,Qsc bh ego rf,Perfil,45,CITOMETRIA HEMATICA COMPLETA,
Paquete febril,Qsc bh ego rf,Perfil,83,Examen general de orina,
Paquete febril,Qsc bh ego rf,Perfil,QSC,QUIMICA SANGUINEA 6,
Paquete febril,Qsc bh ego rf,Perfil,RF,REACCIONES FEBRILES,
FWEQF,PAQUETE PROSTATA,Perfil,83,Examen general de orina,
FWEQF,PAQUETE PROSTATA,Prueba,PSA,ANTIGENO PROSTATICO ESPECIFICO (PSA),
CHEBA,CHEQUEO BASICO GENERAL,Perfil,45,CITOMETRIA HEMATICA COMPLETA,
CHEBA,CHEQUEO BASICO GENERAL,Perfil,83,Examen general de orina,
CHEBA,CHEQUEO BASICO GENERAL,Perfil,QSC,QUIMICA SANGUINEA 6,
deng,paquete dengue,Perfil,DENGUE,DENGUE IgG e IgM NS1,
deng,paquete dengue,Perfil,45,CITOMETRIA HEMATICA COMPLETA,
SMAC 32,QS32+EGO+CITOMETRIA HEMATICA,Perfil,45,CITOMETRIA HEMATICA COMPLETA,
SMAC 32,QS32+EGO+CITOMETRIA HEMATICA,Perfil,83,Examen general de orina,
SMAC 32,QS32+EGO+CITOMETRIA HEMATICA,Perfil,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,
PAQUETE COVID,PAQUETE SARS-COV-2 (COVID 19),Prueba,agcovid,Antígeno SARS-CoV-2 (NASOFARINGEO),
PAQUETE COVID,PAQUETE SARS-COV-2 (COVID 19),Perfil,COVID19,SARS-CoV2 IgG/IgM,
TOXEMICO,PERFIL TOXEMICO,Perfil,45,CITOMETRIA HEMATICA COMPLETA,
TOXEMICO,PERFIL TOXEMICO,Perfil,QSC,QUIMICA SANGUINEA 6,
TOXEMICO,PERFIL TOXEMICO,Perfil,PERFHEP,PERFIL HEPATICO,
TOXEMICO,PERFIL TOXEMICO,Prueba,TPT,TIEMPO PARCIAL DE TROMBOPLASTINA,
TOXEMICO,PERFIL TOXEMICO,Perfil,564,TIEMPO DE PROTROMBINA,
TOXEMICO,PERFIL TOXEMICO,Perfil,230,PROTEINAS TOTALES ORINA 24 HRS,
TOXEMICO,PERFIL TOXEMICO,Perfil,83,Examen general de orina,
CONTDIA,CONTROL DIABETICO,Prueba,HBAIC,HEMOGLOBINA GLUCOSILADA,
CONTDIA,CONTROL DIABETICO,Perfil,QSC,QUIMICA SANGUINEA 6,
CONTDIA,CONTROL DIABETICO,Perfil,83,Examen general de orina,
CONTDIA,CONTROL DIABETICO,Perfil,45,CITOMETRIA HEMATICA COMPLETA,
PFH+QSC,CUIDA TU HIGADO,Perfil,PERFHEP,PERFIL HEPATICO,
PFH+QSC,CUIDA TU HIGADO,Perfil,QSC,QUIMICA SANGUINEA 6,
hepesp,PERFIL HEPATICO ESPECIAL,Perfil,QSC,QUIMICA SANGUINEA 6,
hepesp,PERFIL HEPATICO ESPECIAL,Perfil,PERFHEP,PERFIL HEPATICO,
,,,,,
